year,state,index,final co2 (kg),generation (mwh)
2011,LA,517.5569026,54597459108,105490737
2011,MA,417.2909642,15879932756,38054820.54
2011,MD,559.5555956,23399534085,41818068.25
2011,ME,195.8975616,3129206556,15973688.14
2011,MI,592.8111984,64716906243,109169507
2011,MN,591.6208722,31426937138,53120061.54
2011,MO,830.5118183,78795968760,94876396.73
2011,MS,450.7788723,23247091397,51570942.71
2011,MT,569.0439863,17144466005,30128542.64
2011,NC,502.4375067,59483503534,118389854.9
2011,ND,846.4902179,29694792314,35079900.14
2011,NE,728.4664585,26294033987,36095051.02
2011,NH,258.123841,5179497770,20065941.02
2011,NJ,240.6134193,15566267653,64694096.02
2011,NM,805.9963717,30773859750,38181139.31
2011,NV,461.1853747,14787531316,32064180.97
2011,NY,264.3415101,36337424872,137463937.7
2011,OH,796.9902101,1.08E+11,135585804.5
2011,OK,680.1208771,50740903382,74605713.62
2011,OR,112.1239996,6693260568,59695164.21
2011,PA,503.3776118,1.14E+11,227314722.5
2011,RI,414.7332935,3617416843,8722272.6
2011,SC,373.1062123,38419704529,102972567.2
2011,SD,242.2541961,2906780366,11998885.52
2011,TN,504.9978285,40957274312,81103862.23
2011,TX,571.0363395,2.49E+11,435457419.9
2011,UT,817.2765749,33374428887,40836150.1
2011,VA,423.5949006,28241435939,66670859.12
2011,VT,3.699464651,25068382.1,6776218.85
2011,WA,65.85910702,7591091969,115262600.9
2011,WI,702.7213959,44474776049,63289343.84
2011,WV,897.4879169,70901207592,78999623.57
2011,WY,919.6968805,43812953044,47638470.86
2012,AK,521.8447656,3618532551,6934116.79
2012,AL,464.7019938,71043031005,152878687.7
2012,AR,557.432531,36236279646,65005678.05
2012,AZ,479.2335603,53149403109,110905010.7
2012,CA,248.3955223,49703140843,200096766.6
2012,CO,755.5787207,39710725010,52556701.14
2012,CT,234.9692696,8486512910,36117543.9
2012,DE,498.3022103,4302188823,8633694.04
2012,FL,503.7105777,1.11E+11,221184474
2012,GA,489.0208344,59809219777,122304032
2012,HI,667.3028881,6986173233,10469268.69
2012,IA,645.9896859,36611727475,56675405.62
2012,ID,52.08101566,807208315.1,15499089.35
2012,IL,453.5441004,89611669097,197580938.7
2012,IN,887.3369668,1.02E+11,114695560.3
2012,KS,718.4213163,31915644821,44424690.77
2012,KY,939.8947807,84543243027,89949688.8
2012,LA,500.4026721,51745492330,103407705.9
2012,MA,385.0348297,13698931482,35578421.55
2012,MD,521.7857551,19728585629,37809743.63
2012,ME,181.4698234,2730811672,15048296.3
2012,MI,593.2365783,64163311345,108158049.7
2012,MN,519.2845425,27394561712,52754433.21
2012,MO,780.1902576,71624836558,91804320.63
2012,MS,445.6924059,24327805777,54584295.03
2012,MT,585.0121765,16266136309,27804782.47
2012,NC,479.8573121,55990597305,116681763.3
2012,ND,837.7004985,30262063652,36125158.94
2012,NE,743.4997049,25440546869,34217292.49
2012,NH,226.4848099,4353563255,19222318.96
2012,NJ,227.2854476,14833422887,65263407.96
2012,NM,799.3844833,29286177580,36635909.49
2012,NV,418.3098106,14767255869,35302198.26
2012,NY,252.1060373,34227993889,135768243.6
2012,OH,719.8114925,93392468043,129745730.7
2012,OK,616.6662847,48036177763,77896552.73
2012,OR,122.914629,7488439266,60923905.68
2012,PA,478.6290119,1.07E+11,223419715.5
2012,RI,412.7532253,3429581334,8309035.82
2012,SC,348.4795217,33717373757,96755681.91
2012,SD,273.6367434,3139543002,11473397.04
2012,TN,500.2842896,38878133049,77712080.63
2012,TX,538.5685224,2.31E+11,429815558.9
2012,UT,817.9529337,32229767434,39402960.86
2012,VA,348.4731412,24650723419,70739234.97
2012,VT,1.94566622,12858067.61,6608568.05
2012,WA,53.99825914,6308912175,116835473.5
2012,WI,617.9932476,39397649172,63750937.94
2012,WV,893.7417366,65612623830,73413404.73
2012,WY,929.7846446,46106724665,49588606.28
2013,AK,528.5981616,3434208012,6496821.71
2013,AL,459.0644357,69122674331,150572923.9
2013,AR,605.9164911,36550392797,60322492.18
2013,AZ,502.0288241,56937716637,113415234.2
2013,CA,242.1022111,48586507604,200685930.9
2013,CO,743.9718069,39383959899,52937435.98
2013,CT,234.3726929,8346196598,35610789.35
2013,DE,494.2711106,3835969406,7760861.04
2013,FL,490.2176762,1.09E+11,222500805.1
